X	X^2	Y1	Y2	Y
0.05	0.00	0.5475	0.20	0.75
0.10	0.01	1.0900	0.39	1.48
0.15	0.02	1.6275	0.58	2.21
0.20	0.04	2.1600	0.76	2.92
0.25	0.06	2.6875	0.94	3.63
0.30	0.09	3.2100	1.11	4.32
0.35	0.12	3.7275	1.28	5.01
0.40	0.16	4.2400	1.44	5.68
0.45	0.20	4.7475	1.60	6.35
0.50	0.25	5.2500	1.75	7.00
0.55	0.30	5.7475	1.90	7.65
0.60	0.36	6.2400	2.04	8.28
0.65	0.42	6.7275	2.18	8.91
0.70	0.49	7.2100	2.31	9.52
0.75	0.56	7.6875	2.44	10.13
0.80	0.64	8.1600	2.56	10.72
0.85	0.72	8.6275	2.68	11.31
0.90	0.81	9.0900	2.79	11.88
0.95	0.90	9.5475	2.90	12.45
1.00	1.00	10.0000	3.00	13.00
1.05	1.10	10.4475	3.10	13.55
1.10	1.21	10.8900	3.19	14.08
1.15	1.32	11.3275	3.28	14.61
1.20	1.44	11.7600	3.36	15.12
1.25	1.56	12.1875	3.44	15.63
1.30	1.69	12.6100	3.51	16.12
1.35	1.82	13.0275	3.58	16.61
1.40	1.96	13.4400	3.64	17.08
1.45	2.10	13.8475	3.70	17.55
1.50	2.25	14.2500	3.75	18.00
1.55	2.40	14.6475	3.80	18.45
1.60	2.56	15.0400	3.84	18.88
1.65	2.72	15.4275	3.88	19.31
1.70	2.89	15.8100	3.91	19.72
1.75	3.06	16.1875	3.94	20.13
1.80	3.24	16.5600	3.96	20.52
1.85	3.42	16.9275	3.98	20.91
1.90	3.61	17.2900	3.99	21.28
1.95	3.80	17.6475	4.00	21.65
2.00	4.00	18.0000	4.00	22.00
2.05	4.20	18.3475	4.00	22.35
2.10	4.41	18.6900	3.99	22.68
2.15	4.62	19.0275	3.98	23.01
2.20	4.84	19.3600	3.96	23.32
2.25	5.06	19.6875	3.94	23.63
2.30	5.29	20.0100	3.91	23.92
2.35	5.52	20.3275	3.88	24.21
2.40	5.76	20.6400	3.84	24.48
2.45	6.00	20.9475	3.80	24.75
2.50	6.25	21.2500	3.75	25.00
2.55	6.50	21.5475	3.70	25.25
2.60	6.76	21.8400	3.64	25.48
2.65	7.02	22.1275	3.58	25.71
2.70	7.29	22.4100	3.51	25.92
2.75	7.56	22.6875	3.44	26.13
2.80	7.84	22.9600	3.36	26.32
2.85	8.12	23.2275	3.28	26.51
2.90	8.41	23.4900	3.19	26.68
2.95	8.70	23.7475	3.10	26.85
3.00	9.00	24.0000	3.00	27.00
3.05	9.30	24.2475	2.90	27.15
3.10	9.61	24.4900	2.79	27.28
3.15	9.92	24.7275	2.68	27.41
3.20	10.24	24.9600	2.56	27.52
3.25	10.56	25.1875	2.44	27.63
3.30	10.89	25.4100	2.31	27.72
3.35	11.22	25.6275	2.18	27.81
3.40	11.56	25.8400	2.04	27.88
3.45	11.90	26.0475	1.90	27.95
3.50	12.25	26.2500	1.75	28.00
3.55	12.60	26.4475	1.60	28.05
3.60	12.96	26.6400	1.44	28.08
3.65	13.32	26.8275	1.28	28.11
3.70	13.69	27.0100	1.11	28.12
3.75	14.06	27.1875	0.94	28.13
3.80	14.44	27.3600	0.76	28.12
3.85	14.82	27.5275	0.58	28.11
3.90	15.21	27.6900	0.39	28.08
3.95	15.60	27.8475	0.20	28.05
4.00	16.00	28.0000	0.00	28.00
4.05	16.40	28.1475	-0.20	27.95
4.10	16.81	28.2900	-0.41	27.88
4.15	17.22	28.4275	-0.62	27.81
4.20	17.64	28.5600	-0.84	27.72
4.25	18.06	28.6875	-1.06	27.63
4.30	18.49	28.8100	-1.29	27.52
4.35	18.92	28.9275	-1.52	27.41
4.40	19.36	29.0400	-1.76	27.28
4.45	19.80	29.1475	-2.00	27.15
4.50	20.25	29.2500	-2.25	27.00
4.55	20.70	29.3475	-2.50	26.85
4.60	21.16	29.4400	-2.76	26.68
4.65	21.62	29.5275	-3.02	26.51
4.70	22.09	29.6100	-3.29	26.32
4.75	22.56	29.6875	-3.56	26.13
4.80	23.04	29.7600	-3.84	25.92
4.85	23.52	29.8275	-4.12	25.71
4.90	24.01	29.8900	-4.41	25.48
4.95	24.50	29.9475	-4.70	25.25
5.00	25.00	30.0000	-5.00	25.00
5.05	25.50	30.0475	-5.30	24.75
5.10	26.01	30.0900	-5.61	24.48
5.15	26.52	30.1275	-5.92	24.21
5.20	27.04	30.1600	-6.24	23.92
5.25	27.56	30.1875	-6.56	23.63
5.30	28.09	30.2100	-6.89	23.32
